2014-11-27 15:19:18 execute_v2 INFO:	---------reset_env at: 2014-11-27 03:19:18---------
2014-12-24 00:59:19 execute_v2 INFO:	enc files res:0
2014-12-24 00:59:24 execute_v2 INFO:	to reset env, succ.
2014-12-25 01:03:48 execute_v2 INFO:	---------reset_env at: 2014-12-25 01:03:48---------
2014-12-25 01:03:53 execute_v2 INFO:	start_v2 ret=99
2014-12-25 01:03:53 execute_v2 INFO:	db dump res:99
2014-12-25 01:03:56 execute_v2 INFO:	---------reset_env at: 2014-12-25 01:03:56---------
2014-12-25 01:04:00 execute_v2 INFO:	start_v2 ret=0
2014-12-25 01:04:00 execute_v2 INFO:	db dump res:0
2014-12-25 01:04:01 execute_v2 INFO:	to_remove:
2014-12-25 01:04:01 execute_v2 INFO:	zip files res:0
2014-12-25 01:04:01 execute_v2 INFO:	enc files res:99
2014-12-25 01:04:04 execute_v2 INFO:	---------reset_env at: 2014-12-25 01:04:04---------
2014-12-25 01:04:04 execute_v2 INFO:	start_v2 ret=0
2014-12-25 01:04:04 execute_v2 INFO:	db dump res:0
2014-12-25 01:04:04 execute_v2 INFO:	zip files res:0
2014-12-25 01:04:04 execute_v2 INFO:	enc files res:0
2014-12-25 01:04:16 execute_v2 INFO:	to reset env, succ.
2014-12-26 01:08:53 execute_v2 INFO:	---------reset_env at: 2014-12-26 01:08:53---------
2014-12-26 01:08:58 execute_v2 INFO:	start_v2 ret=99
2014-12-26 01:08:58 execute_v2 INFO:	db dump res:99
2014-12-26 01:09:01 execute_v2 INFO:	---------reset_env at: 2014-12-26 01:09:01---------
2014-12-26 01:09:05 execute_v2 INFO:	start_v2 ret=0
2014-12-26 01:09:05 execute_v2 INFO:	db dump res:0
2014-12-26 01:09:06 execute_v2 INFO:	zip files res:99
2014-12-26 01:09:09 execute_v2 INFO:	---------reset_env at: 2014-12-26 01:09:09---------
2014-12-26 01:09:09 execute_v2 INFO:	start_v2 ret=0
2014-12-26 01:09:09 execute_v2 INFO:	db dump res:0
2014-12-26 01:09:10 execute_v2 INFO:	to_remove:
2014-12-26 01:09:10 execute_v2 INFO:	zip files res:0
2014-12-26 01:09:10 execute_v2 INFO:	enc files res:0
2014-12-26 01:09:22 execute_v2 INFO:	to reset env, succ.
2014-12-27 00:49:59 execute_v2 INFO:	---------reset_env at: 2014-12-27 12:49:59---------
2014-12-27 00:50:04 execute_v2 INFO:	start_v2 ret=99
2014-12-27 00:50:04 execute_v2 INFO:	db dump res:99
2014-12-27 00:50:07 execute_v2 INFO:	---------reset_env at: 2014-12-27 12:50:07---------
2014-12-27 00:50:12 execute_v2 INFO:	start_v2 ret=99
2014-12-27 00:50:12 execute_v2 INFO:	db dump res:99
2014-12-27 00:50:15 execute_v2 INFO:	---------reset_env at: 2014-12-27 12:50:15---------
2014-12-27 00:50:18 execute_v2 INFO:	start_v2 ret=0
2014-12-27 00:50:18 execute_v2 INFO:	db dump res:0
2014-12-27 00:50:19 execute_v2 INFO:	to_remove:
2014-12-27 00:50:19 execute_v2 INFO:	zip files res:0
2014-12-27 00:50:20 execute_v2 INFO:	enc files res:99
2014-12-27 00:50:33 execute_v2 INFO:	---------reset_env at: 2014-12-27 12:50:33---------
2014-12-27 00:50:34 execute_v2 INFO:	start_v2 ret=0
2014-12-27 00:50:34 execute_v2 INFO:	db dump res:0
2014-12-27 00:50:34 execute_v2 INFO:	zip files res:0
2014-12-27 00:50:34 execute_v2 INFO:	enc files res:0
2014-12-27 00:50:46 execute_v2 INFO:	to reset env, succ.
